PRICE,BEDROOMS,BATHROOMS,FLOORS,INSTALLMENT_YEARS,HAS_INSTALLMENT,REAL_ESTATE_COMPANY,SIZE(SQM),AMENITIES_نادي صحي مشترك,AMENITIES_حارس أمن,AMENITIES_صالة رياضة مشتركة,AMENITIES_حديقة خاصة,AMENITIES_موقف مغطى,AMENITIES_غرفة خادمة,AMENITIES_مسبح خاص,AMENITIES_مطل على بحيرات,AMENITIES_COUNT,LATITUDE,LONGITUDE,PROPERTY_TYPE
11900000.0,5,5,-1.0,5.0,1,سراي,230,1,1,1,1,1,1,1,1,18,30.09417724609375,31.70400047302246,فيلا
5000000.0,3,4,1.0,0.0,0,سراي,186,1,1,1,0,1,0,0,0,7,30.09417724609375,31.70400047302246,شقة
14150000.0,3,2,-1.0,0.0,0,أليفا,230,0,1,1,0,1,0,0,0,5,30.057632446289062,31.67757797241211,فيلا
19702000.0,3,3,-1.0,0.0,0,ذا فاليز,195,1,1,1,0,0,0,0,0,6,30.04700469970703,31.655561447143555,تاون هاوس
4850000.0,5,4,-1.0,5.0,1,سراي,239,1,1,1,1,1,1,1,1,18,30.09417724609375,31.70400047302246,فيلا
15100000.0,4,3,-1.0,8.0,1,سراي,213,1,1,1,0,0,0,0,1,6,30.09417724609375,31.70400047302246,فيلا
27750000.0,3,3,-1.0,7.0,1,ذا وندر مارك,225,1,1,1,0,0,0,0,1,6,30.048582077026367,31.640851974487305,فيلا
26500000.0,4,3,-1.0,5.0,1,ذا فاليز,230,0,1,0,0,0,1,0,1,4,30.04700469970703,31.655561447143555,فيلا
12800000.0,4,2,-1.0,6.0,1,الفراشه,175,1,1,1,1,1,1,1,1,18,30.07651710510254,31.683374404907227,فيلا
4800000.0,4,4,-1.0,5.0,1,سراي,212,1,1,1,1,1,1,1,1,18,30.09417724609375,31.70400047302246,فيلا
6900000.0,3,3,0.0,0.0,0,كابيتال جاردنز - بالم هيلز,193,1,1,1,0,0,0,0,0,5,30.106813430786133,31.693866729736328,شقة
9750000.0,5,5,-1.0,0.0,0,سراي,244,1,1,1,1,1,1,0,1,17,30.09417724609375,31.70400047302246,فيلا
5190000.0,3,3,-1.0,0.0,0,البوسكو سيتي,212,1,1,1,0,0,0,0,0,6,30.07013320922852,31.66701889038086,فيلا
7000000.0,4,3,-1.0,0.0,0,سراي,212,1,1,1,0,1,1,0,0,13,30.09417724609375,31.70400047302246,فيلا
